occ,naq,bre,hdf,pll,nor,pac,cor
0.946,0.79,0.621,0.419,0.63,0.825,0.869,0.892
0.948,0.759,0.656,0.431,0.635,0.811,0.882,0.874
0.943,0.726,0.721,0.455,0.65,0.811,0.884,0.879
0.941,0.764,0.782,0.554,0.685,0.819,0.887,0.903
0.941,0.781,0.852,0.68,0.696,0.808,0.848,0.914
0.96,0.823,0.933,0.787,0.675,0.794,0.805,0.917
0.975,0.882,0.966,0.856,0.645,0.817,0.795,0.906
0.979,0.93,0.973,0.9,0.622,0.822,0.798,0.907
0.982,0.968,0.975,0.941,0.574,0.804,0.821,0.912
0.985,0.987,0.973,0.966,0.525,0.805,0.841,0.899
0.986,0.989,0.978,0.97,0.449,0.787,0.808,0.895
0.988,0.978,0.985,0.954,0.403,0.77,0.73,0.889
0.989,0.961,0.986,0.875,0.406,0.792,0.714,0.858
0.988,0.943,0.99,0.747,0.419,0.812,0.728,0.749
0.988,0.972,0.99,0.551,0.449,0.816,0.773,0.649
0.987,0.99,0.986,0.659,0.488,0.796,0.806,0.741
0.978,0.99,0.973,0.924,0.481,0.772,0.865,0.82
0.969,0.986,0.966,0.967,0.446,0.775,0.899,0.868
0.965,0.981,0.964,0.968,0.385,0.792,0.927,0.869
0.956,0.973,0.957,0.956,0.352,0.822,0.97,0.871
0.951,0.959,0.949,0.943,0.363,0.847,0.982,0.881
0.948,0.944,0.929,0.935,0.392,0.85,0.968,0.9
0.943,0.941,0.905,0.921,0.439,0.853,0.952,0.932
0.944,0.917,0.89,0.896,0.469,0.854,0.952,0.953
0.94,0.89,0.862,0.861,0.481,0.861,0.953,0.972
0.94,0.885,0.816,0.818,0.466,0.872,0.944,0.981
0.943,0.894,0.769,0.78,0.434,0.885,0.931,0.989
0.947,0.907,0.697,0.74,0.451,0.895,0.914,0.989
0.952,0.907,0.641,0.679,0.508,0.89,0.886,0.985
0.963,0.883,0.619,0.596,0.491,0.878,0.823,0.984
0.976,0.875,0.596,0.544,0.44,0.881,0.755,0.985
0.985,0.865,0.596,0.482,0.524,0.886,0.694,0.989
0.989,0.836,0.574,0.391,0.525,0.88,0.679,0.99
0.989,0.762,0.555,0.309,0.575,0.869,0.721,0.991
0.984,0.699,0.5,0.248,0.603,0.849,0.707,0.99
0.973,0.651,0.419,0.204,0.61,0.851,0.75,0.989
0.967,0.554,0.341,0.175,0.641,0.867,0.782,0.989
0.963,0.464,0.274,0.171,0.665,0.853,0.789,0.989
0.961,0.368,0.233,0.156,0.671,0.854,0.797,0.988
0.962,0.321,0.184,0.141,0.645,0.861,0.808,0.985
0.958,0.361,0.131,0.13,0.624,0.836,0.813,0.98
0.945,0.454,0.11,0.103,0.63,0.819,0.836,0.979
0.939,0.545,0.117,0.081,0.617,0.8,0.837,0.979
0.933,0.615,0.115,0.056,0.617,0.765,0.823,0.977
0.923,0.75,0.109,0.042,0.623,0.703,0.807,0.973
0.916,0.823,0.092,0.03,0.615,0.67,0.798,0.966
0.918,0.86,0.068,0.027,0.58,0.635,0.798,0.949
0.921,0.856,0.054,0.036,0.552,0.584,0.812,0.901
0.921,0.849,0.048,0.056,0.526,0.558,0.848,0.781
0.917,0.836,0.045,0.09,0.479,0.55,0.878,0.598
0.914,0.802,0.048,0.141,0.439,0.52,0.905,0.435
0.915,0.742,0.057,0.179,0.439,0.487,0.917,0.397
0.916,0.644,0.074,0.197,0.397,0.457,0.931,0.406
0.927,0.473,0.084,0.203,0.321,0.398,0.955,0.407
0.921,0.311,0.08,0.232,0.286,0.344,0.967,0.457
0.913,0.242,0.074,0.251,0.29,0.324,0.973,0.578
0.902,0.211,0.067,0.253,0.257,0.299,0.974,0.692
0.895,0.201,0.058,0.262,0.24,0.279,0.971,0.758
0.892,0.181,0.054,0.291,0.238,0.272,0.964,0.804
0.896,0.164,0.058,0.361,0.249,0.285,0.961,0.83
0.911,0.155,0.068,0.427,0.301,0.285,0.961,0.844
0.917,0.152,0.074,0.473,0.358,0.254,0.958,0.852
0.899,0.155,0.081,0.508,0.419,0.216,0.946,0.867
0.897,0.169,0.101,0.523,0.461,0.18,0.923,0.879
0.895,0.181,0.149,0.535,0.478,0.144,0.884,0.894
0.879,0.187,0.191,0.535,0.47,0.117,0.835,0.908
0.877,0.187,0.215,0.513,0.432,0.108,0.796,0.909
0.879,0.199,0.207,0.504,0.376,0.128,0.762,0.906
0.876,0.213,0.189,0.49,0.322,0.166,0.761,0.903
0.877,0.221,0.17,0.479,0.281,0.206,0.784,0.899
0.878,0.22,0.151,0.477,0.248,0.239,0.8,0.89
0.876,0.211,0.136,0.486,0.233,0.275,0.796,0.894
0.872,0.201,0.124,0.487,0.231,0.336,0.805,0.91
0.867,0.201,0.109,0.493,0.224,0.391,0.827,0.913
0.862,0.216,0.101,0.497,0.219,0.426,0.843,0.915
0.858,0.243,0.105,0.513,0.221,0.44,0.844,0.918
0.864,0.255,0.109,0.538,0.245,0.425,0.811,0.927
0.885,0.213,0.094,0.51,0.253,0.372,0.777,0.914
0.888,0.165,0.072,0.52,0.227,0.326,0.707,0.874
0.896,0.14,0.058,0.479,0.222,0.334,0.557,0.823
0.904,0.118,0.047,0.456,0.237,0.331,0.464,0.764
0.905,0.088,0.037,0.429,0.245,0.304,0.429,0.705
0.899,0.101,0.028,0.377,0.223,0.281,0.473,0.647
0.897,0.16,0.023,0.37,0.228,0.266,0.587,0.612
0.91,0.265,0.021,0.364,0.247,0.258,0.675,0.61
0.903,0.376,0.019,0.32,0.258,0.265,0.707,0.604
0.907,0.461,0.02,0.262,0.258,0.271,0.71,0.604
0.912,0.501,0.02,0.219,0.252,0.293,0.725,0.637
0.907,0.5,0.022,0.178,0.267,0.328,0.74,0.688
0.9,0.467,0.019,0.134,0.293,0.344,0.735,0.721
0.9,0.429,0.019,0.111,0.317,0.349,0.718,0.733
0.913,0.4,0.027,0.106,0.33,0.376,0.699,0.778
0.926,0.384,0.042,0.11,0.325,0.412,0.694,0.844
0.934,0.379,0.049,0.121,0.301,0.433,0.682,0.877
0.937,0.391,0.045,0.139,0.278,0.461,0.639,0.889
0.938,0.439,0.05,0.2,0.239,0.503,0.545,0.898
0.938,0.498,0.052,0.285,0.184,0.583,0.433,0.896
0.933,0.538,0.055,0.312,0.132,0.682,0.34,0.887
0.911,0.542,0.064,0.274,0.131,0.746,0.252,0.888
0.901,0.537,0.085,0.231,0.183,0.768,0.202,0.898
0.902,0.538,0.096,0.17,0.22,0.795,0.164,0.907
0.92,0.5,0.087,0.103,0.241,0.822,0.102,0.901
0.94,0.465,0.077,0.055,0.27,0.841,0.05,0.886
0.956,0.447,0.069,0.036,0.347,0.867,0.023,0.873
0.965,0.482,0.057,0.041,0.457,0.89,0.015,0.863
0.969,0.547,0.05,0.054,0.506,0.891,0.027,0.852
