occ,naq,bre,hdf,pll,nor,pac,cor
0.241,0.027,0.078,0.733,0.116,0.444,0.492,0.505
0.256,0.022,0.073,0.694,0.117,0.463,0.377,0.555
0.309,0.035,0.082,0.648,0.099,0.427,0.268,0.591
0.429,0.054,0.078,0.671,0.079,0.419,0.29,0.651
0.494,0.072,0.087,0.679,0.086,0.489,0.253,0.723
0.575,0.09,0.105,0.658,0.119,0.51,0.216,0.774
0.678,0.088,0.097,0.643,0.219,0.479,0.221,0.783
0.735,0.062,0.073,0.651,0.426,0.444,0.26,0.809
0.778,0.039,0.051,0.663,0.611,0.353,0.322,0.81
0.812,0.035,0.038,0.671,0.679,0.229,0.39,0.754
0.836,0.057,0.039,0.683,0.725,0.179,0.479,0.681
0.852,0.103,0.046,0.69,0.755,0.221,0.538,0.6
0.859,0.158,0.054,0.684,0.76,0.323,0.584,0.587
0.859,0.195,0.055,0.658,0.76,0.419,0.612,0.661
0.838,0.206,0.053,0.632,0.748,0.383,0.511,0.7
0.784,0.219,0.06,0.666,0.753,0.274,0.333,0.616
0.74,0.237,0.067,0.719,0.789,0.276,0.313,0.51
0.695,0.299,0.065,0.703,0.784,0.397,0.322,0.414
0.572,0.382,0.055,0.603,0.707,0.503,0.247,0.132
0.461,0.245,0.048,0.632,0.632,0.566,0.274,0.144
0.349,0.22,0.054,0.665,0.588,0.587,0.285,0.554
0.247,0.263,0.054,0.656,0.558,0.556,0.232,0.725
0.19,0.319,0.05,0.639,0.473,0.516,0.188,0.646
0.163,0.331,0.069,0.62,0.327,0.531,0.16,0.647
0.158,0.325,0.122,0.554,0.19,0.513,0.132,0.51
0.182,0.352,0.208,0.451,0.157,0.484,0.087,0.328
0.205,0.377,0.216,0.349,0.16,0.434,0.054,0.223
0.234,0.381,0.202,0.228,0.152,0.373,0.061,0.135
0.294,0.344,0.209,0.157,0.17,0.352,0.06,0.104
0.422,0.287,0.227,0.094,0.22,0.304,0.069,0.151
0.562,0.252,0.252,0.052,0.172,0.245,0.102,0.172
0.638,0.267,0.269,0.033,0.179,0.179,0.183,0.158
0.656,0.301,0.296,0.026,0.158,0.232,0.292,0.168
0.621,0.324,0.346,0.027,0.14,0.104,0.395,0.213
0.486,0.337,0.411,0.048,0.144,0.054,0.468,0.257
0.112,0.361,0.467,0.109,0.134,0.046,0.506,0.229
0.454,0.385,0.49,0.164,0.184,0.054,0.537,0.163
0.957,0.388,0.464,0.195,0.349,0.089,0.603,0.151
0.971,0.348,0.413,0.223,0.5,0.097,0.689,0.18
0.93,0.273,0.331,0.233,0.498,0.082,0.756,0.214
0.889,0.201,0.292,0.261,0.388,0.083,0.811,0.232
0.852,0.157,0.324,0.274,0.312,0.083,0.837,0.429
0.825,0.151,0.367,0.298,0.279,0.12,0.844,0.585
0.792,0.174,0.392,0.346,0.266,0.247,0.8,0.41
0.758,0.17,0.39,0.398,0.251,0.404,0.753,0.2
0.718,0.144,0.379,0.444,0.241,0.467,0.725,0.121
0.662,0.132,0.375,0.479,0.234,0.482,0.712,0.097
0.571,0.134,0.379,0.498,0.234,0.474,0.704,0.085
0.533,0.119,0.376,0.524,0.229,0.473,0.699,0.088
0.501,0.08,0.352,0.537,0.218,0.455,0.663,0.112
0.422,0.048,0.277,0.535,0.218,0.385,0.598,0.143
0.352,0.038,0.23,0.591,0.239,0.339,0.572,0.195
0.209,0.042,0.249,0.654,0.299,0.28,0.503,0.277
0.087,0.056,0.257,0.714,0.37,0.225,0.415,0.318
0.016,0.085,0.274,0.744,0.392,0.199,0.354,0.261
0.003,0.12,0.285,0.746,0.395,0.19,0.325,0.261
0.097,0.145,0.252,0.718,0.451,0.171,0.301,0.266
0.282,0.156,0.22,0.662,0.467,0.142,0.301,0.232
0.47,0.166,0.205,0.58,0.499,0.107,0.355,0.204
0.589,0.184,0.205,0.491,0.489,0.085,0.432,0.181
0.658,0.228,0.242,0.41,0.488,0.066,0.486,0.173
0.698,0.276,0.299,0.336,0.488,0.06,0.511,0.166
0.727,0.307,0.333,0.26,0.481,0.095,0.516,0.155
0.719,0.307,0.34,0.198,0.554,0.162,0.476,0.139
0.668,0.308,0.379,0.201,0.708,0.273,0.385,0.119
0.615,0.344,0.424,0.233,0.813,0.418,0.354,0.102
0.594,0.419,0.445,0.276,0.841,0.535,0.464,0.093
0.583,0.497,0.454,0.313,0.828,0.591,0.598,0.084
0.575,0.532,0.419,0.334,0.776,0.627,0.58,0.08
0.588,0.566,0.422,0.333,0.689,0.667,0.465,0.082
0.604,0.626,0.428,0.313,0.663,0.737,0.491,0.093
0.612,0.649,0.417,0.278,0.747,0.83,0.628,0.102
0.61,0.593,0.448,0.226,0.809,0.902,0.638,0.109
0.607,0.539,0.461,0.16,0.898,0.931,0.61,0.15
0.575,0.499,0.429,0.094,0.897,0.923,0.607,0.209
0.588,0.452,0.422,0.054,0.872,0.904,0.68,0.276
0.598,0.455,0.44,0.039,0.917,0.861,0.703,0.342
0.584,0.468,0.468,0.033,0.881,0.787,0.665,0.383
0.569,0.485,0.488,0.031,0.845,0.764,0.648,0.402
0.52,0.516,0.526,0.032,0.907,0.768,0.649,0.423
0.358,0.544,0.57,0.044,0.948,0.788,0.671,0.436
0.128,0.546,0.606,0.069,0.976,0.838,0.706,0.446
0.025,0.538,0.641,0.111,0.989,0.902,0.734,0.481
0.107,0.524,0.63,0.173,0.926,0.938,0.769,0.542
0.297,0.467,0.595,0.241,0.917,0.938,0.825,0.598
0.431,0.375,0.56,0.28,0.974,0.922,0.85,0.618
0.462,0.289,0.541,0.275,0.99,0.912,0.86,0.592
0.417,0.233,0.583,0.244,0.99,0.914,0.859,0.52
0.479,0.224,0.635,0.254,0.988,0.943,0.867,0.488
0.552,0.257,0.679,0.309,0.982,0.974,0.857,0.501
0.52,0.344,0.686,0.342,0.976,0.987,0.807,0.53
0.444,0.458,0.619,0.365,0.969,0.991,0.768,0.538
0.405,0.633,0.576,0.399,0.956,0.99,0.739,0.538
0.395,0.716,0.599,0.404,0.944,0.988,0.694,0.551
0.4,0.753,0.532,0.355,0.931,0.989,0.641,0.595
0.419,0.773,0.498,0.336,0.914,0.991,0.592,0.607
0.444,0.742,0.526,0.378,0.887,0.99,0.543,0.581
0.461,0.651,0.555,0.5,0.841,0.987,0.473,0.553
0.378,0.577,0.513,0.477,0.773,0.984,0.388,0.512
0.429,0.533,0.529,0.457,0.712,0.983,0.316,0.535
0.397,0.539,0.58,0.486,0.699,0.984,0.335,0.558
0.3,0.525,0.594,0.455,0.686,0.983,0.382,0.564
0.199,0.495,0.587,0.43,0.68,0.982,0.392,0.545
0.106,0.482,0.566,0.439,0.681,0.979,0.354,0.52
0.036,0.491,0.576,0.472,0.675,0.975,0.305,0.518
0.006,0.532,0.593,0.528,0.633,0.967,0.313,0.527
0.018,0.63,0.607,0.593,0.554,0.956,0.404,0.554
0.038,0.649,0.658,0.66,0.469,0.944,0.509,0.522
0.067,0.675,0.668,0.703,0.365,0.925,0.578,0.492
0.113,0.674,0.691,0.743,0.267,0.894,0.613,0.469
0.154,0.667,0.679,0.729,0.181,0.843,0.639,0.44
0.175,0.658,0.599,0.68,0.118,0.745,0.728,0.441
0.148,0.617,0.535,0.672,0.084,0.638,0.843,0.469
0.084,0.563,0.476,0.665,0.059,0.56,0.902,0.521
0.028,0.516,0.442,0.64,0.037,0.479,0.916,0.607
0.006,0.479,0.455,0.612,0.027,0.395,0.903,0.691
0.043,0.464,0.473,0.587,0.023,0.305,0.895,0.716
0.115,0.461,0.461,0.579,0.026,0.223,0.902,0.731
0.176,0.446,0.445,0.538,0.042,0.17,0.899,0.781
0.22,0.434,0.429,0.495,0.075,0.126,0.921,0.797
0.25,0.397,0.395,0.46,0.112,0.091,0.951,0.804
0.278,0.355,0.334,0.373,0.145,0.079,0.96,0.825
0.296,0.301,0.243,0.262,0.155,0.06,0.966,0.874
0.232,0.262,0.233,0.189,0.124,0.042,0.968,0.934
0.223,0.222,0.235,0.146,0.091,0.032,0.971,0.96
0.214,0.189,0.234,0.133,0.051,0.027,0.975,0.96
0.185,0.182,0.231,0.144,0.018,0.02,0.974,0.955
0.141,0.192,0.237,0.189,0.013,0.017,0.972,0.953
0.128,0.213,0.257,0.253,0.017,0.022,0.973,0.944
0.143,0.225,0.301,0.324,0.051,0.023,0.98,0.928
0.176,0.224,0.355,0.392,0.129,0.023,0.986,0.92
0.198,0.216,0.413,0.451,0.261,0.039,0.988,0.915
0.158,0.201,0.454,0.492,0.417,0.056,0.99,0.902
0.09,0.178,0.473,0.516,0.542,0.064,0.991,0.88
0.037,0.147,0.476,0.518,0.575,0.088,0.989,0.845
0.018,0.111,0.461,0.489,0.51,0.14,0.985,0.792
0.082,0.081,0.435,0.457,0.404,0.197,0.985,0.758
0.268,0.057,0.426,0.46,0.318,0.199,0.987,0.697
0.466,0.043,0.439,0.499,0.304,0.179,0.99,0.566
0.612,0.045,0.457,0.523,0.337,0.178,0.99,0.404
0.742,0.047,0.46,0.547,0.361,0.197,0.988,0.229
0.804,0.037,0.43,0.563,0.373,0.223,0.983,0.111
0.805,0.023,0.417,0.576,0.368,0.257,0.975,0.054
0.809,0.016,0.407,0.598,0.363,0.284,0.971,0.039
0.805,0.012,0.384,0.56,0.332,0.285,0.965,0.031
0.795,0.013,0.345,0.512,0.289,0.25,0.956,0.02
0.847,0.03,0.297,0.464,0.258,0.207,0.953,0.013
0.89,0.043,0.297,0.458,0.247,0.179,0.959,0.038
0.9,0.036,0.328,0.51,0.28,0.139,0.952,0.093
0.897,0.024,0.354,0.553,0.34,0.093,0.935,0.151
0.895,0.017,0.361,0.589,0.392,0.053,0.91,0.18
0.9,0.01,0.352,0.61,0.429,0.081,0.875,0.197
0.913,0.007,0.349,0.627,0.457,0.117,0.844,0.229
0.926,0.008,0.354,0.633,0.46,0.142,0.81,0.27
0.931,0.022,0.361,0.634,0.442,0.172,0.768,0.306
0.926,0.054,0.37,0.631,0.417,0.219,0.721,0.313
0.902,0.104,0.37,0.632,0.402,0.291,0.673,0.312
0.88,0.149,0.342,0.636,0.388,0.427,0.63,0.299
0.874,0.202,0.313,0.617,0.353,0.528,0.628,0.264
0.848,0.262,0.277,0.554,0.296,0.535,0.598,0.224
0.814,0.325,0.241,0.503,0.251,0.506,0.595,0.196
0.794,0.376,0.224,0.523,0.212,0.501,0.654,0.171
0.776,0.412,0.218,0.567,0.196,0.55,0.705,0.153
0.735,0.429,0.216,0.568,0.204,0.583,0.74,0.148
0.682,0.419,0.226,0.55,0.219,0.555,0.762,0.146
0.632,0.392,0.235,0.511,0.23,0.516,0.768,0.141
0.575,0.366,0.233,0.473,0.234,0.523,0.736,0.132
0.461,0.352,0.226,0.439,0.235,0.529,0.712,0.12
0.404,0.351,0.21,0.392,0.207,0.486,0.679,0.104
0.357,0.365,0.181,0.327,0.19,0.396,0.638,0.09
0.297,0.338,0.134,0.241,0.223,0.293,0.553,0.071
0.237,0.307,0.098,0.206,0.282,0.269,0.439,0.053
0.223,0.269,0.078,0.213,0.31,0.269,0.278,0.054
0.212,0.202,0.067,0.243,0.32,0.26,0.133,0.072
0.229,0.151,0.067,0.287,0.324,0.214,0.051,0.092
0.251,0.116,0.078,0.34,0.34,0.153,0.018,0.115
0.252,0.078,0.103,0.382,0.328,0.106,0.008,0.142
0.252,0.133,0.133,0.421,0.259,0.07,0.023,0.169
0.29,0.21,0.145,0.457,0.152,0.039,0.047,0.191
0.34,0.267,0.146,0.479,0.071,0.022,0.076,0.206
0.36,0.295,0.163,0.516,0.042,0.022,0.109,0.2
0.34,0.337,0.188,0.579,0.026,0.032,0.134,0.169
0.282,0.408,0.223,0.61,0.028,0.039,0.143,0.133
0.209,0.488,0.242,0.587,0.068,0.046,0.137,0.11
0.283,0.545,0.223,0.58,0.111,0.055,0.147,0.092
0.376,0.566,0.206,0.576,0.154,0.066,0.176,0.075
0.473,0.535,0.194,0.553,0.2,0.067,0.249,0.071
0.615,0.498,0.191,0.501,0.247,0.067,0.32,0.073
0.698,0.483,0.2,0.443,0.276,0.061,0.348,0.072
0.698,0.485,0.202,0.399,0.289,0.055,0.325,0.063
0.67,0.484,0.191,0.367,0.275,0.054,0.262,0.049
0.622,0.486,0.177,0.322,0.268,0.058,0.192,0.037
0.555,0.487,0.157,0.275,0.261,0.061,0.142,0.032
0.473,0.479,0.134,0.239,0.239,0.063,0.084,0.033
0.342,0.411,0.1,0.191,0.197,0.068,0.036,0.033
0.324,0.329,0.072,0.16,0.143,0.086,0.026,0.04
0.224,0.312,0.058,0.136,0.107,0.119,0.028,0.047
0.119,0.365,0.055,0.145,0.102,0.149,0.021,0.055
0.059,0.294,0.064,0.163,0.124,0.141,0.006,0.063
0.035,0.199,0.082,0.178,0.172,0.116,0.02,0.076
0.054,0.131,0.11,0.201,0.252,0.09,0.203,0.1
0.111,0.084,0.157,0.225,0.34,0.073,0.304,0.14
0.182,0.084,0.214,0.247,0.4,0.061,0.205,0.205
0.23,0.151,0.253,0.271,0.412,0.053,0.158,0.282
0.233,0.299,0.274,0.31,0.392,0.054,0.241,0.308
0.201,0.474,0.308,0.353,0.357,0.061,0.343,0.229
0.165,0.622,0.364,0.388,0.316,0.066,0.351,0.107
0.15,0.726,0.42,0.395,0.299,0.07,0.364,0.036
0.142,0.798,0.428,0.392,0.341,0.112,0.429,0.009
0.117,0.823,0.468,0.329,0.395,0.192,0.365,0.013
0.092,0.829,0.487,0.269,0.412,0.288,0.238,0.047
0.067,0.82,0.462,0.253,0.418,0.374,0.14,0.137
0.045,0.802,0.432,0.287,0.441,0.453,0.085,0.152
0.033,0.803,0.409,0.372,0.467,0.516,0.052,0.081
0.031,0.794,0.375,0.45,0.501,0.568,0.035,0.02
0.042,0.781,0.346,0.482,0.531,0.615,0.043,0.003
0.069,0.784,0.325,0.474,0.543,0.644,0.11,0.01
0.114,0.782,0.319,0.451,0.555,0.65,0.264,0.036
0.134,0.791,0.289,0.386,0.551,0.646,0.385,0.088
0.228,0.775,0.261,0.365,0.553,0.737,0.479,0.142
0.349,0.726,0.221,0.358,0.576,0.784,0.578,0.204
0.433,0.679,0.173,0.34,0.602,0.801,0.685,0.234
0.496,0.632,0.148,0.294,0.61,0.809,0.81,0.234
0.566,0.583,0.138,0.248,0.615,0.817,0.903,0.241
0.633,0.552,0.142,0.198,0.615,0.827,0.866,0.284
0.667,0.537,0.153,0.148,0.61,0.829,0.676,0.358
0.665,0.531,0.163,0.103,0.593,0.809,0.562,0.416
0.64,0.525,0.156,0.062,0.564,0.768,0.578,0.397
0.602,0.529,0.137,0.035,0.519,0.663,0.651,0.373
0.551,0.543,0.116,0.017,0.46,0.563,0.719,0.378
0.464,0.561,0.108,0.01,0.382,0.486,0.748,0.343
0.34,0.599,0.123,0.012,0.284,0.419,0.729,0.268
0.23,0.687,0.179,0.023,0.219,0.377,0.685,0.224
0.175,0.754,0.26,0.054,0.192,0.342,0.622,0.211
0.16,0.783,0.298,0.087,0.199,0.316,0.596,0.21
0.17,0.782,0.296,0.103,0.245,0.333,0.6,0.207
0.165,0.762,0.271,0.113,0.318,0.371,0.626,0.203
0.156,0.703,0.247,0.128,0.364,0.385,0.602,0.208
0.191,0.641,0.229,0.152,0.354,0.385,0.552,0.203
0.272,0.632,0.21,0.184,0.333,0.464,0.507,0.198
0.277,0.636,0.199,0.21,0.324,0.494,0.454,0.204
0.269,0.632,0.187,0.216,0.301,0.479,0.385,0.2
0.404,0.58,0.145,0.176,0.278,0.41,0.297,0.165
0.464,0.517,0.096,0.124,0.269,0.417,0.217,0.135
0.417,0.524,0.08,0.121,0.27,0.522,0.17,0.117
0.376,0.503,0.078,0.119,0.283,0.519,0.112,0.105
0.434,0.432,0.06,0.099,0.299,0.456,0.054,0.108
0.482,0.319,0.066,0.078,0.287,0.392,0.032,0.124
0.221,0.196,0.084,0.064,0.26,0.376,0.052,0.155
0.109,0.113,0.093,0.059,0.241,0.346,0.085,0.19
0.067,0.083,0.092,0.062,0.242,0.279,0.127,0.203
0.083,0.083,0.093,0.072,0.274,0.202,0.171,0.186
0.149,0.084,0.118,0.09,0.32,0.13,0.21,0.149
0.175,0.082,0.176,0.115,0.377,0.073,0.245,0.104
0.17,0.111,0.255,0.156,0.425,0.039,0.288,0.061
0.174,0.198,0.305,0.216,0.432,0.038,0.411,0.035
0.224,0.336,0.331,0.291,0.411,0.09,0.121,0.049
0.3,0.446,0.348,0.341,0.373,0.106,0.053,0.122
0.37,0.47,0.337,0.349,0.341,0.11,0.216,0.115
0.388,0.409,0.322,0.342,0.36,0.101,0.175,0.027
0.369,0.287,0.293,0.331,0.416,0.075,0.088,0.042
0.332,0.148,0.26,0.316,0.491,0.049,0.049,0.092
0.29,0.051,0.231,0.301,0.559,0.022,0.042,0.163
0.274,0.058,0.199,0.29,0.622,0.01,0.175,0.179
0.29,0.096,0.169,0.263,0.672,0.008,0.326,0.057
0.307,0.122,0.151,0.224,0.704,0.036,0.391,0.018
0.262,0.141,0.126,0.152,0.713,0.097,0.453,0.044
0.241,0.149,0.108,0.091,0.72,0.181,0.215,0.071
0.206,0.159,0.126,0.086,0.764,0.301,0.135,0.071
0.218,0.167,0.142,0.114,0.805,0.407,0.063,0.031
0.247,0.127,0.142,0.111,0.839,0.466,0.075,0.031
0.301,0.072,0.129,0.111,0.85,0.5,0.055,0.068
0.397,0.09,0.116,0.121,0.841,0.522,0.06,0.109
0.51,0.204,0.131,0.122,0.842,0.547,0.069,0.142
0.614,0.267,0.148,0.122,0.862,0.578,0.117,0.133
0.707,0.231,0.15,0.133,0.879,0.602,0.159,0.139
0.789,0.178,0.156,0.156,0.884,0.596,0.209,0.349
0.846,0.155,0.179,0.188,0.876,0.555,0.268,0.563
0.861,0.164,0.213,0.223,0.853,0.513,0.32,0.226
0.84,0.174,0.23,0.25,0.804,0.498,0.308,0.039
0.798,0.178,0.22,0.273,0.729,0.554,0.228,0.074
0.768,0.206,0.212,0.279,0.697,0.654,0.119,0.068
0.749,0.279,0.209,0.259,0.707,0.716,0.042,0.037
0.708,0.35,0.214,0.229,0.736,0.708,0.006,0.018
0.699,0.373,0.205,0.201,0.744,0.665,0.013,0.01
0.668,0.388,0.18,0.192,0.736,0.651,0.04,0.007
0.623,0.41,0.159,0.186,0.715,0.645,0.049,0.005
0.589,0.425,0.144,0.178,0.679,0.653,0.036,0.005
0.557,0.433,0.129,0.162,0.629,0.639,0.019,0.006
0.537,0.457,0.119,0.16,0.576,0.599,0.013,0.007
0.447,0.435,0.11,0.116,0.495,0.566,0.014,0.006
0.488,0.364,0.085,0.052,0.445,0.634,0.017,0.008
0.498,0.336,0.077,0.044,0.437,0.683,0.025,0.014
0.429,0.334,0.07,0.046,0.433,0.68,0.041,0.026
0.36,0.266,0.078,0.047,0.441,0.671,0.063,0.046
0.309,0.131,0.073,0.04,0.446,0.655,0.088,0.077
0.276,0.046,0.049,0.036,0.444,0.634,0.125,0.117
0.251,0.02,0.034,0.038,0.422,0.596,0.172,0.146
0.231,0.024,0.019,0.036,0.382,0.535,0.215,0.152
0.201,0.057,0.008,0.033,0.326,0.451,0.258,0.142
0.173,0.135,0.016,0.034,0.26,0.344,0.311,0.123
0.158,0.2,0.04,0.029,0.198,0.223,0.356,0.102
0.171,0.291,0.054,0.033,0.147,0.118,0.37,0.083
0.22,0.481,0.054,0.053,0.109,0.066,0.385,0.069
0.36,0.697,0.064,0.108,0.102,0.056,0.41,0.051
0.451,0.81,0.063,0.187,0.111,0.081,0.385,0.039
0.433,0.8,0.075,0.232,0.112,0.122,0.382,0.043
0.412,0.722,0.099,0.267,0.104,0.159,0.429,0.046
0.388,0.617,0.132,0.296,0.094,0.197,0.495,0.039
0.366,0.525,0.176,0.328,0.081,0.227,0.559,0.028
0.356,0.482,0.234,0.358,0.061,0.245,0.639,0.026
0.362,0.483,0.29,0.392,0.042,0.248,0.724,0.039
0.358,0.516,0.334,0.394,0.036,0.231,0.718,0.054
0.337,0.559,0.372,0.379,0.056,0.206,0.646,0.056
0.247,0.542,0.397,0.347,0.105,0.153,0.518,0.048
0.092,0.441,0.349,0.285,0.128,0.099,0.417,0.032
0.03,0.337,0.26,0.235,0.139,0.102,0.327,0.017
0.011,0.308,0.213,0.238,0.125,0.124,0.182,0.004
0.004,0.285,0.216,0.296,0.092,0.143,0.072,0.003
0.009,0.242,0.18,0.366,0.066,0.145,0.048,0.005
0.027,0.184,0.148,0.436,0.047,0.14,0.102,0.019
0.047,0.119,0.119,0.498,0.031,0.13,0.16,0.03
0.074,0.069,0.092,0.539,0.019,0.114,0.186,0.047
0.119,0.046,0.06,0.563,0.016,0.096,0.193,0.067
0.19,0.051,0.037,0.572,0.022,0.076,0.175,0.082
0.268,0.086,0.027,0.557,0.042,0.073,0.13,0.089
0.343,0.149,0.023,0.555,0.077,0.09,0.094,0.09
0.369,0.248,0.036,0.576,0.139,0.124,0.07,0.081
0.336,0.429,0.079,0.621,0.278,0.147,0.056,0.057
0.249,0.636,0.122,0.648,0.488,0.159,0.043,0.053
0.144,0.776,0.131,0.63,0.631,0.163,0.04,0.1
0.101,0.822,0.131,0.603,0.653,0.176,0.027,0.177
0.111,0.818,0.142,0.555,0.615,0.184,0.011,0.248
0.145,0.799,0.135,0.473,0.559,0.18,0.009,0.317
0.192,0.769,0.107,0.354,0.514,0.164,0.011,0.364
0.244,0.74,0.085,0.225,0.483,0.146,0.019,0.382
0.296,0.707,0.112,0.132,0.461,0.159,0.038,0.361
0.29,0.668,0.182,0.085,0.433,0.195,0.059,0.351
0.234,0.591,0.203,0.061,0.388,0.195,0.08,0.325
0.268,0.495,0.15,0.054,0.328,0.168,0.145,0.33
0.322,0.461,0.109,0.059,0.331,0.151,0.223,0.34
0.368,0.468,0.128,0.086,0.304,0.161,0.28,0.328
0.392,0.469,0.182,0.122,0.283,0.161,0.333,0.315
0.426,0.473,0.261,0.163,0.348,0.168,0.385,0.295
0.482,0.452,0.308,0.23,0.391,0.204,0.444,0.296
0.547,0.416,0.3,0.345,0.349,0.278,0.51,0.318
0.605,0.381,0.269,0.508,0.274,0.362,0.573,0.353
0.651,0.398,0.276,0.616,0.208,0.379,0.617,0.383
0.678,0.45,0.469,0.684,0.178,0.309,0.646,0.41
0.68,0.775,0.67,0.795,0.173,0.221,0.664,0.419
0.649,0.92,0.831,0.783,0.19,0.202,0.663,0.407
0.584,0.861,0.87,0.738,0.241,0.279,0.617,0.39
0.51,0.681,0.903,0.763,0.286,0.397,0.529,0.364
0.433,0.487,0.928,0.82,0.301,0.476,0.471,0.315
0.37,0.544,0.945,0.864,0.31,0.475,0.436,0.251
0.364,0.68,0.897,0.879,0.215,0.439,0.422,0.207
0.378,0.709,0.8,0.844,0.216,0.398,0.423,0.191
0.397,0.442,0.816,0.816,0.427,0.349,0.43,0.203
0.397,0.289,0.838,0.825,0.51,0.299,0.437,0.234
0.328,0.268,0.816,0.828,0.503,0.244,0.435,0.267
0.202,0.088,0.883,0.711,0.536,0.238,0.449,0.27
0.099,0.061,0.917,0.721,0.555,0.274,0.488,0.239
0.035,0.114,0.919,0.62,0.524,0.266,0.508,0.177
0.006,0.165,0.915,0.516,0.551,0.285,0.571,0.149
0.02,0.249,0.892,0.503,0.638,0.385,0.602,0.125
0.019,0.35,0.869,0.464,0.707,0.454,0.62,0.096
0.006,0.462,0.881,0.454,0.744,0.457,0.629,0.077
0.003,0.553,0.876,0.413,0.75,0.431,0.63,0.07
0.051,0.602,0.862,0.364,0.747,0.413,0.638,0.072
0.129,0.591,0.841,0.358,0.721,0.418,0.66,0.09
0.209,0.479,0.823,0.439,0.668,0.41,0.694,0.11
0.252,0.29,0.789,0.523,0.583,0.373,0.724,0.12
0.266,0.171,0.699,0.525,0.488,0.331,0.742,0.138
0.241,0.132,0.581,0.501,0.407,0.292,0.733,0.16
0.177,0.124,0.495,0.474,0.328,0.258,0.689,0.172
0.129,0.132,0.45,0.459,0.275,0.245,0.598,0.177
0.085,0.146,0.423,0.502,0.268,0.262,0.491,0.187
0.035,0.163,0.404,0.59,0.292,0.307,0.449,0.187
0.007,0.181,0.395,0.623,0.351,0.361,0.444,0.153
0.02,0.195,0.404,0.652,0.419,0.403,0.461,0.117
0.066,0.198,0.443,0.714,0.467,0.422,0.491,0.099
0.103,0.19,0.501,0.769,0.495,0.447,0.515,0.101
0.128,0.163,0.571,0.646,0.508,0.46,0.532,0.117
0.18,0.122,0.638,0.607,0.502,0.448,0.546,0.133
0.287,0.091,0.644,0.553,0.455,0.455,0.563,0.129
0.367,0.07,0.563,0.435,0.394,0.452,0.575,0.115
0.345,0.049,0.486,0.466,0.308,0.439,0.54,0.092
0.406,0.031,0.486,0.499,0.255,0.476,0.541,0.078
0.451,0.023,0.535,0.551,0.184,0.497,0.538,0.075
0.337,0.023,0.571,0.523,0.144,0.516,0.535,0.065
0.199,0.025,0.582,0.449,0.15,0.532,0.555,0.053
0.113,0.031,0.571,0.395,0.182,0.562,0.599,0.043
0.059,0.036,0.547,0.388,0.23,0.596,0.646,0.04
0.024,0.045,0.537,0.397,0.277,0.615,0.676,0.038
0.009,0.089,0.526,0.408,0.305,0.621,0.682,0.038
0.022,0.169,0.521,0.411,0.322,0.61,0.658,0.038
0.052,0.261,0.523,0.387,0.336,0.59,0.625,0.036
0.083,0.328,0.535,0.332,0.344,0.563,0.584,0.037
0.13,0.388,0.541,0.274,0.352,0.525,0.529,0.039
0.229,0.47,0.532,0.22,0.354,0.473,0.448,0.033
0.404,0.513,0.504,0.192,0.364,0.43,0.361,0.018
0.53,0.412,0.492,0.17,0.376,0.44,0.309,0.012
0.571,0.268,0.473,0.159,0.383,0.451,0.281,0.014
0.548,0.185,0.455,0.17,0.397,0.445,0.292,0.012
0.497,0.127,0.444,0.182,0.414,0.441,0.416,0.037
0.428,0.172,0.383,0.19,0.431,0.432,0.502,0.079
0.356,0.151,0.278,0.197,0.429,0.413,0.373,0.08
0.278,0.127,0.221,0.203,0.412,0.382,0.229,0.072
0.208,0.098,0.215,0.194,0.394,0.354,0.229,0.095
0.137,0.112,0.216,0.171,0.364,0.335,0.275,0.143
0.067,0.164,0.201,0.124,0.29,0.286,0.319,0.158
0.03,0.227,0.199,0.082,0.253,0.27,0.333,0.12
0.019,0.272,0.229,0.068,0.219,0.266,0.278,0.107
0.027,0.275,0.253,0.072,0.176,0.27,0.285,0.117
0.027,0.268,0.266,0.088,0.124,0.255,0.27,0.118
0.02,0.263,0.268,0.107,0.075,0.216,0.268,0.102
0.019,0.264,0.252,0.122,0.053,0.174,0.229,0.074
0.026,0.272,0.219,0.133,0.063,0.148,0.238,0.059
0.036,0.278,0.187,0.132,0.109,0.138,0.216,0.117
0.05,0.278,0.178,0.117,0.19,0.135,0.206,0.224
0.094,0.26,0.187,0.101,0.291,0.142,0.066,0.285
0.278,0.217,0.214,0.099,0.376,0.153,0.135,0.189
0.568,0.157,0.257,0.12,0.43,0.156,0.422,0.066
0.634,0.109,0.326,0.162,0.464,0.136,0.392,0.027
0.612,0.085,0.394,0.216,0.491,0.11,0.256,0.027
0.598,0.122,0.411,0.266,0.523,0.082,0.23,0.063
0.632,0.173,0.366,0.288,0.51,0.061,0.234,0.145
0.687,0.19,0.31,0.274,0.476,0.035,0.164,0.278
0.747,0.159,0.308,0.239,0.446,0.017,0.098,0.392
0.786,0.127,0.333,0.21,0.439,0.018,0.094,0.431
0.791,0.119,0.324,0.201,0.441,0.035,0.106,0.44
0.781,0.12,0.285,0.234,0.448,0.062,0.179,0.388
0.761,0.133,0.262,0.27,0.468,0.087,0.322,0.185
0.719,0.14,0.264,0.274,0.506,0.111,0.524,0.051
0.679,0.122,0.256,0.216,0.518,0.114,0.498,0.081
0.594,0.128,0.237,0.168,0.475,0.093,0.427,0.114
