occ,naq,bre,hdf,pll,ara,est,nor,bfc,cvl,pac,cor,idf
0.872,0.073,0.12,0.22,0.145,0.339,0.213,0.198,0.097,0.135,0.859,0.122,0.145
0.871,0.073,0.103,0.209,0.129,0.322,0.2,0.199,0.094,0.123,0.851,0.096,0.145
0.868,0.068,0.081,0.192,0.11,0.299,0.201,0.188,0.1,0.117,0.841,0.078,0.137
0.859,0.063,0.054,0.181,0.1,0.283,0.182,0.176,0.104,0.106,0.826,0.062,0.118
0.847,0.054,0.035,0.185,0.085,0.281,0.195,0.181,0.116,0.093,0.81,0.057,0.105
0.835,0.046,0.032,0.19,0.065,0.283,0.215,0.189,0.124,0.079,0.801,0.06,0.102
0.81,0.036,0.037,0.189,0.052,0.293,0.189,0.189,0.129,0.072,0.801,0.06,0.103
0.796,0.029,0.037,0.18,0.051,0.294,0.166,0.181,0.124,0.07,0.803,0.06,0.102
0.795,0.026,0.037,0.175,0.053,0.294,0.154,0.175,0.119,0.071,0.806,0.063,0.104
0.79,0.022,0.033,0.166,0.042,0.33,0.127,0.165,0.094,0.059,0.81,0.06,0.104
0.796,0.033,0.023,0.149,0.025,0.408,0.11,0.15,0.094,0.035,0.824,0.05,0.084
0.817,0.058,0.014,0.113,0.037,0.439,0.132,0.122,0.101,0.039,0.845,0.046,0.067
0.844,0.067,0.018,0.096,0.05,0.448,0.147,0.109,0.093,0.052,0.859,0.05,0.071
0.863,0.075,0.027,0.099,0.052,0.461,0.138,0.115,0.096,0.057,0.85,0.056,0.078
0.869,0.085,0.028,0.091,0.05,0.469,0.124,0.116,0.1,0.056,0.835,0.054,0.078
0.854,0.097,0.024,0.087,0.045,0.458,0.106,0.116,0.093,0.045,0.808,0.047,0.065
0.825,0.118,0.041,0.11,0.035,0.428,0.132,0.147,0.095,0.041,0.792,0.038,0.082
0.799,0.171,0.071,0.129,0.033,0.449,0.161,0.176,0.116,0.049,0.795,0.031,0.113
0.784,0.228,0.104,0.138,0.036,0.444,0.158,0.19,0.111,0.061,0.796,0.036,0.131
0.771,0.264,0.122,0.145,0.046,0.421,0.14,0.191,0.1,0.075,0.801,0.043,0.135
0.772,0.246,0.14,0.15,0.055,0.413,0.122,0.182,0.089,0.086,0.806,0.051,0.138
0.767,0.207,0.166,0.132,0.06,0.391,0.104,0.166,0.086,0.092,0.803,0.058,0.137
0.76,0.195,0.182,0.1,0.071,0.371,0.085,0.134,0.086,0.097,0.798,0.056,0.135
0.752,0.179,0.179,0.078,0.087,0.362,0.066,0.104,0.086,0.1,0.788,0.045,0.125
0.752,0.16,0.171,0.07,0.098,0.36,0.054,0.086,0.078,0.101,0.774,0.032,0.109
0.752,0.138,0.165,0.065,0.1,0.349,0.041,0.079,0.064,0.096,0.764,0.021,0.09
0.75,0.105,0.153,0.058,0.1,0.33,0.035,0.067,0.052,0.086,0.753,0.022,0.072
0.747,0.064,0.142,0.054,0.1,0.311,0.03,0.052,0.048,0.077,0.736,0.031,0.056
0.744,0.037,0.136,0.05,0.092,0.307,0.031,0.037,0.044,0.063,0.717,0.037,0.042
0.737,0.026,0.132,0.051,0.076,0.311,0.039,0.026,0.042,0.054,0.704,0.033,0.033
0.73,0.027,0.134,0.072,0.066,0.315,0.042,0.031,0.046,0.049,0.703,0.026,0.026
0.726,0.034,0.145,0.105,0.067,0.32,0.039,0.056,0.055,0.042,0.703,0.023,0.017
0.72,0.045,0.145,0.152,0.07,0.323,0.037,0.098,0.063,0.033,0.698,0.02,0.016
0.708,0.054,0.125,0.202,0.062,0.352,0.034,0.149,0.058,0.02,0.687,0.03,0.019
0.743,0.028,0.089,0.231,0.042,0.428,0.028,0.184,0.049,0.011,0.684,0.066,0.025
0.767,0.024,0.051,0.22,0.028,0.454,0.031,0.184,0.058,0.008,0.688,0.102,0.031
0.764,0.032,0.047,0.275,0.021,0.452,0.031,0.223,0.055,0.01,0.654,0.103,0.041
0.766,0.059,0.058,0.338,0.022,0.443,0.033,0.303,0.053,0.014,0.617,0.08,0.06
0.771,0.082,0.067,0.362,0.019,0.417,0.039,0.331,0.048,0.02,0.591,0.053,0.076
0.759,0.067,0.075,0.412,0.012,0.362,0.052,0.346,0.038,0.03,0.57,0.035,0.107
0.727,0.047,0.106,0.471,0.009,0.312,0.09,0.433,0.028,0.06,0.569,0.021,0.158
0.721,0.05,0.166,0.54,0.014,0.33,0.145,0.503,0.026,0.109,0.569,0.006,0.215
0.702,0.056,0.202,0.574,0.029,0.31,0.179,0.534,0.029,0.161,0.529,0.003,0.259
0.67,0.063,0.215,0.553,0.056,0.311,0.2,0.568,0.035,0.189,0.482,0.003,0.26
0.641,0.071,0.224,0.588,0.088,0.32,0.255,0.6,0.051,0.196,0.471,0.003,0.309
0.635,0.073,0.233,0.661,0.125,0.301,0.301,0.619,0.08,0.201,0.483,0.009,0.354
0.625,0.052,0.274,0.682,0.153,0.264,0.312,0.698,0.108,0.214,0.481,0.014,0.4
0.635,0.028,0.289,0.685,0.183,0.238,0.335,0.731,0.144,0.238,0.487,0.016,0.402
0.643,0.008,0.27,0.643,0.212,0.222,0.451,0.703,0.175,0.282,0.467,0.021,0.484
0.648,0.002,0.274,0.606,0.199,0.207,0.555,0.677,0.222,0.279,0.468,0.03,0.512
0.663,0.007,0.279,0.61,0.206,0.177,0.577,0.624,0.265,0.313,0.484,0.053,0.478
0.672,0.023,0.329,0.605,0.23,0.144,0.573,0.585,0.314,0.315,0.488,0.088,0.53
0.678,0.042,0.384,0.588,0.243,0.125,0.555,0.585,0.343,0.388,0.491,0.142,0.507
0.697,0.068,0.367,0.585,0.264,0.096,0.513,0.531,0.344,0.422,0.506,0.201,0.462
0.704,0.089,0.358,0.572,0.252,0.091,0.458,0.512,0.358,0.423,0.502,0.229,0.393
0.694,0.105,0.355,0.527,0.281,0.098,0.413,0.51,0.399,0.356,0.469,0.25,0.344
0.689,0.128,0.352,0.485,0.339,0.106,0.408,0.514,0.4,0.291,0.405,0.252,0.281
0.67,0.141,0.32,0.495,0.334,0.104,0.375,0.494,0.34,0.247,0.338,0.238,0.229
