h;agg
732;1443,841421748
733;1459,647336559
734;1474,37666939
735;1488,59022113
736;1490,312900529
737;1477,911229699
738;1465,210219989
739;1448,056866113
740;1433,343337394
741;1418,009039896
742;1403,656830332
743;1397,451299889
744;1393,73353018
745;1405,120651456
746;1411,490414663
747;1415,160663454
748;1415,350147466
749;1415,697772158
750;1412,627493819
751;1408,994477426
752;1409,358819497
753;1410,059721615
754;1418,427809783
755;1435,128045385
756;1453,750403244
757;1473,888568596
758;1491,017749055
759;1501,849420882
760;1506,570965441
761;1501,852957278
762;1490,162697974
763;1473,58282124
764;1455,479682872
765;1437,062946099
766;1423,316381934
767;1413,527612854
768;1403,623407088
769;1399,577799064
770;1395,97813877
771;1392,822128927
772;1388,604929011
773;1380,457600645
774;1369,971108145
775;1360,025401933
776;1354,180331418
777;1352,396273842
778;1353,804156166
779;1356,424750092
780;1356,245260217
781;1355,515228972
782;1353,890894585
783;1356,002355116
784;1348,215783812
785;1335,237570341
786;1315,332576605
787;1293,184891131
788;1272,076474063
789;1250,565846257
790;1230,868728711
791;1215,378801113
792;1202,837335746
793;1193,793732298
794;1186,641115065
795;1173,85045267
796;1157,489532957
797;1141,175348252
798;1127,579989636
799;1113,22429873
800;1093,918405539
801;1075,764221403
802;1063,777367928
803;1057,045249606
804;1048,755772162
805;1041,026638485
806;1033,090837119
807;1027,506464245
808;1022,236723966
809;1011,53704728
810;1001,09144214
811;990,209388332
812;979,591641693
813;968,884860377
814;967,128419603
815;964,614465984
816;965,149683095
817;963,593562314
818;967,743191814
819;965,369081119
820;953,657260697
821;941,27265843
822;929,440242724
823;915,381060462
824;902,448590351
825;895,888023974
826;898,099094097
827;908,569935922
828;917,132551883
829;929,150998912
830;943,333282327
831;963,483441926
832;976,308010297
833;980,335531278
834;981,491095111
835;978,25832731
836;978,496635343
837;970,875755237
838;961,893584085
839;957,290020171
840;957,057391806
841;958,420796063
842;950,777979906
843;939,311496596
844;920,896642341
845;902,286565537
846;887,5045422
847;875,793352561
848;860,552943166
849;857,01848357
850;866,571639116
851;879,141950237
852;893,925188798
853;913,601808453
854;937,414777111
855;958,811382952
856;970,008362873
857;970,801656906
858;971,88056914
859;968,566443546
860;964,375224915
861;954,138729517
862;946,726414293
863;945,754255676
864;953,194015691
865;957,627785406
866;956,781872248
867;961,026207965
868;967,640943409
869;970,233880963
870;972,375536569
871;971,76523387
872;977,078574476
873;989,503802487
874;1006,575903862
875;1029,122235277
876;1050,861415917
877;1073,838230256
878;1096,712903527
879;1117,211524349
880;1126,915844101
881;1126,303739566
882;1121,029916215
883;1111,162133026
884;1096,449484742
885;1079,161248512
886;1067,122211947
887;1057,136850981
888;1044,660532683
889;1034,834182518
890;1029,866276371
891;1020,405087628
892;1008,605281953
893;994,933511289
894;979,572989699
895;971,426305579
896;966,201024041
897;963,100047192
898;961,731570214
899;965,245011882
900;970,189393562
901;978,403860556
902;989,980603632
903;996,261282588
904;997,439925575
905;989,239895337
906;981,835872071
907;975,166205626
908;965,339298641
909;954,715332107
910;951,846764138
911;959,197330765
912;969,517251941
913;984,555827769
914;1000,825939768
915;1023,820332327
916;1044,961841096
917;1059,183153171
918;1073,323723934
919;1082,56777219
920;1085,336572548
921;1094,77314749
922;1111,535456425
923;1131,130291735
924;1153,606238474
925;1175,543787586
926;1196,108568127
927;1215,813932846
928;1225,195226672
929;1232,323002934
930;1232,116622348
931;1230,482874181
932;1227,475534879
933;1227,109255198
934;1230,587892398
935;1238,745759458
936;1249,024466972
937;1253,719916387
938;1258,086650448
939;1263,279645073
940;1265,125691379
941;1265,059844561
942;1269,051670646
943;1272,369499945
944;1278,381764642
945;1286,211369524
946;1296,945869574
947;1317,803811052
948;1338,175709454
949;1365,608342734
950;1394,914176933
951;1421,66961801
952;1439,021945149
953;1451,772320555
954;1458,229808424
955;1462,628491193
956;1465,410769893
957;1464,063989576
958;1471,413563649
959;1478,289185136
960;1488,034524245
961;1501,372742942
962;1512,303005411
963;1518,529912501
964;1520,057742787
965;1524,146206216
966;1524,114775153
967;1526,731949728
968;1534,444492187
969;1547,298712625
970;1568,096019292
971;1589,480626462
972;1607,369002983
973;1622,836738489
974;1634,543339176
975;1640,148925816
